Genus,Species,Transect,Day,Mo,Year,ampm,Time,SVL,Mass
Sibon,argus,Guabal,15,9,2006,2,9:04:00 PM,26.6,2.8
Imantodes,cenchoa,Silenciosa,15,9,2006,,7:14:00 PM,82,18
Sibon,annulatus,Silenciosa,16,9,2006,2,10:-17:-59 PM,27.2,2.2
Bothriechis,schlegelii,Silenciosa,16,9,2006,2,10:-28:-59 PM,29,11.1
Sibon,longifrenis,Silenciosa,16,9,2006,2,10:-5:-59 PM,35.4,5.7
Dipsas,sp.,Rocky Road,16,9,2006,,8:11:00 PM,19,1.6
Imantodes,inornatus,Pond,16,9,2006,,11:04:00 PM,56.9,16.5
Dipsas,sp.,Rocky Road,16,9,2006,,8:-20:-59 PM,33.6,6.1
Dipsas,sp.,Rocky Road,16,9,2006,,8:-22:-59 PM,45.2,12.3
Oxybelis,brevirostris,Loop Stream,21,9,2006,2,9:13:00 PM,52.6,12.8
Imantodes,inornatus,Verrugosa,23,9,2006,2,9:-28:-59 PM,39.5,6
Dipsas,sp.,Guabal,25,9,2006,2,8:02:00 PM,21,2
Sibon,argus,Silenciosa,25,9,2006,2,9:18:00 PM,38.2,8.3
Sibon,longifrenis,Silenciosa,25,9,2006,2,9:-14:-59 PM,35.4,5.4
Oxybelis,brevirostris,Rocky Road,25,9,2006,,7:14:00 PM,67.8,22.4
Sibon,annulatus,Rocky Road,25,9,2006,,7:17:00 PM,26.6,2.2
Sibon,argus,TADS,25,9,2006,,8:09:00 PM,26.6,2.9
Sibon,argus,Rocky Road,25,9,2006,,8:-19:-59 PM,31.4,5.3
Bothriechis,schlegelii,Loop Trail,26,9,2006,2,8:13:00 PM,31.6,8.4
Oxybelis,brevirostris,Cascada,28,9,2006,2,8:00:00 PM,84.9,23.2
Imantodes,cenchoa,Silenciosa,28,9,2006,2,10:-11:-59 PM,47.4,5.5
Imantodes,cenchoa,Guabal,28,9,2006,2,9:-9:-59 PM,82.3,24.5
Sibon,annulatus,TADS,28,9,2006,,9:11:00 PM,40.5,7.7
Sibon,argus,TADS,28,9,2006,,10:-21:-59 PM,,
Oxybelis,brevirostris,Rocky Road,28,9,2006,,8:-25:-59 PM,67.5,27.8
Dipsas,sp.,Rocky Road,28,9,2006,,8:-9:-59 PM,19,1.6
Dipsas,sp.,Rocky Road,29,9,2006,,9:-9:-59 PM,47.6,14.6
Oxybelis,brevirostris,Loop Stream,30,9,2006,1,10:-11:-59 PM,64.9,23.6
Dipsas,sp.,Rocky Road,30,9,2006,,8:-22:-59 PM,23.8,2.7
Dipsas,sp.,Rocky Road,30,9,2006,,8:-5:-59 PM,42.2,16
Bothriechis,schlegelii,Guabal,2,10,2006,2,8:25:00 PM,16.9,3
Oxybelis,brevirostris,Cascada,2,10,2006,2,8:-4:-59 PM,67.6,23.6
Sibon,argus,Silenciosa,2,10,2006,2,9:-12:-59 PM,38,7.9
Oxybelis,brevirostris,Rocky Road,2,10,2006,,7:25:00 PM,58,19.3
Oxybelis,brevirostris,Rocky Road,2,10,2006,,8:-27:-59 PM,70,33.9
Leptodeira,septentrionalis,Loop Trail,3,10,2006,2,11:07:00 PM,50.9,23.2
Bothriechis,schlegelii,Loop Stream,3,10,2006,2,11:-12:-59 PM,22.5,3.3
Bothriechis,schlegelii,Main Trail,3,10,2006,2,9:-29:-59 PM,24.9,4.9
Imantodes,inornatus,Pond,3,10,2006,,9:25:00 PM,56.9,16.4
Imantodes,cenchoa,Silenciosa,4,10,2006,2,9:29:00 PM,31.3,2.2
Oxybelis,brevirostris,Loop Stream,4,10,2006,2,10:24:00 PM,52.6,12.7
Sibon,longifrenis,Silenciosa,4,10,2006,2,10:-18:-59 PM,35.2,7.3
Oxybelis,brevirostris,Loop Stream,4,10,2006,2,11:-15:-59 PM,67.7,24.7
Bothriechis,schlegelii,Loop Stream,5,10,2006,1,9:-7:-59 PM,29.7,7.9
Sibon,longifrenis,Silenciosa,7,10,2006,2,9:23:00 PM,35.4,5.4
Dipsas,sp.,Rocky Road,7,10,2006,,,41.7,15.1
Sibon,annulatus,Rocky Road,8,10,2006,,9:03:00 PM,26.6,2.6
Oxybelis,brevirostris,Guabal,12,10,2006,1,8:-5:-59 PM,66.4,26.9
Sibon,annulatus,Silenciosa,13,10,2006,2,8:20:00 PM,37.9,5.4
Oxybelis,brevirostris,TADS,17,10,2006,,10:05:00 PM,66.4,28.6
Sibon,argus,TADS,17,10,2006,,10:-12:-59 PM,29.4,5
Dipsas,sp.,Rocky Road,17,10,2006,,8:-14:-59 PM,42.1,14.9
Oxybelis,brevirostris,Rocky Road,17,10,2006,,8:-6:-59 PM,51.9,13.1
Oxybelis,brevirostris,Rocky Road,17,10,2006,,9:-26:-59 PM,51.9,11.3
Dipsas,sp.,Rocky Road,24,10,2006,,7:24:00 PM,,
Oxybelis,brevirostris,Cabin,24,10,2006,,8:20:00 PM,81.9,23.6
Sibon,argus,Silenciosa,26,10,2006,2,9:29:00 PM,39,8.1
Sibon,annulatus,TADS,26,10,2006,,8:20:00 PM,29.1,3.2
Sibon,argus,TADS,26,10,2006,,9:-25:-59 PM,29.4,5
Sibon,argus,Pond,29,10,2006,,9:-11:-59 PM,46.9,12.2
Sibon,argus,Pond,29,10,2006,,9:-17:-59 PM,42.6,15
Oxybelis,brevirostris,Cascada,31,10,2006,2,8:21:00 PM,70,31.5
Bothriechis,schlegelii,Rocky Road,31,10,2006,,8:08:00 PM,25.9,5.7
Oxybelis,brevirostris,Rocky Road,31,10,2006,,8:-19:-59 PM,66.8,23.4
Imantodes,cenchoa,Rocky Road,31,10,2006,,8:-3:-59 PM,57.4,8.9
Imantodes,cenchoa,Guabal,1,11,2006,2,9:-26:-59 PM,77,17.9
Imantodes,cenchoa,Silenciosa,5,11,2006,2,9:06:00 PM,31.2,2.5
Sibon,nebulatus,Cutoff,5,11,2006,,10:-2:-59 PM,49,24.1
Imantodes,cenchoa,TADS,5,11,2006,,9:-3:-59 PM,75.8,22.5
Sibon,annulatus,Rocky Road,7,11,2006,,8:-13:-59 PM,37.9,7.1
Imantodes,cenchoa,Cascada,11,11,2006,2,8:13:00 PM,31.9,2.6
Oxybelis,brevirostris,Guabal,11,11,2006,2,9:12:00 PM,66,28.8
Dipsas,sp.,Rocky Road,11,11,2006,,8:-28:-59 PM,62.1,50.2
Sibon,argus,Loop Stream,12,11,2006,2,10:-15:-59 PM,35.8,8.2
Imantodes,cenchoa,Main Trail,12,11,2006,2,9:-1:-59 PM,48.2,5.1
Oxybelis,brevirostris,Guabal,13,11,2006,2,8:00:-59 PM,67.3,29.9
Oxybelis,brevirostris,Guabal,13,11,2006,2,8:-17:-59 PM,63.8,22.6
Dipsas,sp.,Guabal,13,11,2006,2,8:-4:-59 PM,20.3,2.1
Imantodes,cenchoa,Rocky Road,13,11,2006,,7:01:00 PM,32.6,3.3
Sibon,argus,TADS,13,11,2006,,8:10:00 PM,29.9,5
Oxybelis,brevirostris,TADS,13,11,2006,,8:21:00 PM,61,20.5
Imantodes,cenchoa,Silenciosa,26,11,2006,2,8:03:00 PM,74.2,22
Sibon,argus,TADS,26,11,2006,,9:00:00 PM,25.5,3.1
Dipsas,sp.,TADS,26,11,2006,,8:-10:-59 PM,22.7,2.3
Sibon,annulatus,Main Trail,28,11,2006,2,7:-4:-59 PM,36.9,6
Sibon,argus,Silenciosa,28,11,2006,2,8:-13:-59 PM,37.9,8.7
Sibon,argus,Silenciosa,28,11,2006,2,8:-27:-59 PM,27.6,3.7
Sibon,longifrenis,TADS,28,11,2006,,8:26:00 PM,34.9,5.4
Sibon,argus,Pond,29,11,2006,,8:16:00 PM,42.1,10.3
Geophis,brachycephalus,Verrugosa,29,11,2006,,8:-20:-59 PM,27,7.4
Imantodes,cenchoa,Trail to Guabal,5,12,2006,,8:00:00 PM,94.3,47.4
Oxybelis,brevirostris,Trail to Guabal,5,12,2006,,9:-26:-59 PM,72.3,30.8
Oxybelis,brevirostris,Guabal,5,12,2006,,9:-9:-59 PM,64.3,24.2
Sibon,argus,Silenciosa,6,12,2006,2,9:-18:-59 PM,38.8,7.1
Dipsas,sp.,Rocky Road,6,12,2006,,7:27:00 PM,35.4,8.1
Oxybelis,brevirostris,Guabal,7,12,2006,2,8:27:00 PM,64.3,24.2
Sibon,argus,Guabal,7,12,2006,2,9:-17:-59 PM,42.5,12.3
Oxyrhopus,petolarius,Road to OTNP,7,12,2006,,7:05:00 PM,61.6,69.3
Leptodeira,septentrionalis,Silenciosa,11,12,2006,2,9:-29:-59 PM,36,10.3
Dipsas,sp.,Rocky Road,11,12,2006,,10:-18:-59 PM,39.5,16.7
Bothriechis,schlegelii,Main Trail,12,12,2006,2,7:10:00 PM,50,54.7
Imantodes,cenchoa,Loop Stream,12,12,2006,2,8:-1:-59 PM,59,13
Oxybelis,brevirostris,Loop Stream,12,12,2006,2,8:-11:-59 PM,53.2,11.4
Oxybelis,brevirostris,Loop Stream,15,12,2006,2,10:21:00 PM,68.1,23.9
Sibon,argus,Loop Stream,15,12,2006,2,10:-4:-59 PM,43.8,10.4
Sibon,argus,Silenciosa,15,12,2006,2,9:-10:-59 PM,36.5,7.1
Bothriechis,schlegelii,Verrugosa,16,12,2006,2,9:01:00 PM,33,7.9
Oxybelis,brevirostris,Verrugosa,16,12,2006,2,10:06:00 PM,66.9,28.3
Oxybelis,brevirostris,Verrugosa,16,12,2006,2,10:-18:-59 PM,62.8,33.4
Imantodes,cenchoa,Verrugosa,16,12,2006,2,9:-2:-59 PM,62.9,10
Oxybelis,brevirostris,Guabal,30,12,2006,2,9:01:00 PM,64.3,23.3
Sibon,nebulatus,Rocky Road,30,12,2006,,8:15:00 PM,30.4,9.4
Dipsas,sp.,Rocky Road,30,12,2006,,8:-9:-59 PM,37.7,15.4
Sibon,annulatus,Trail to Guabal,30,12,2006,,9:-14:-59 PM,35.6,6.7
Imantodes,cenchoa,Main Trail,1,1,2007,2,7:20:00 PM,62.2,13.9
Imantodes,inornatus,Silenciosa,1,1,2007,2,8:18:00 PM,59.6,20.7
Sibon,argus,Silenciosa,1,1,2007,2,8:24:00 PM,38.9,7.1
Oxybelis,brevirostris,Silenciosa,1,1,2007,2,9:01:00 PM,54.5,11.6
Sibon,argus,Silenciosa,1,1,2007,2,8:-8:-59 PM,37.8,9.8
Imantodes,cenchoa,Cutoff,1,1,2007,,8:-28:-59 PM,69.4,10.8
Oxybelis,brevirostris,Loop Stream,3,1,2007,2,9:04:00 PM,68.1,24.1
Oxybelis,brevirostris,Loop Stream,3,1,2007,2,9:-7:-59 PM,68.1,29.1
Oxybelis,brevirostris,Rocky Road,4,1,2007,,8:11:00 PM,59.5,20.2
Leptodeira,septentrionalis,Cutoff,4,1,2007,,8:12:00 PM,40.9,14.4
Dipsas,sp.,Trail to Guabal,4,1,2007,,9:25:00 PM,48.7,15.3
Imantodes,cenchoa,TADS,4,1,2007,,9:-2:-59 PM,67,8.8
Sibon,argus,TADS,4,1,2007,,9:-28:-59 PM,41.5,11.8
Dipsas,sp.,Main Trail,6,1,2007,2,10:-4:-59 PM,48,13.2
Dipsas,sp.,Cutoff,10,1,2007,,8:09:00 PM,43.2,11.6
Sibon,annulatus,Guabal,10,1,2007,,9:00:00 PM,18.2,1.1
Hydromorphis,concolor,Mason's Trib,10,1,2007,,10:18:00 PM,,
Dipsas,sp.,Guabal,10,1,2007,,10:-19:-59 PM,21.6,2.3
Bothriechis,schlegelii,Guabal,10,1,2007,,10:-2:-59 PM,29,8.4
Oxybelis,brevirostris,Guabal,10,1,2007,,10:-4:-59 PM,65.4,23.8
Imantodes,cenchoa,Rocky Road,10,1,2007,,8:-6:-59 PM,34.6,3.2
Imantodes,inornatus,Mason's Trib,10,1,2007,,9:-6:-59 PM,61.5,18.1
Bothrops,asper,Rio Blanco forest,11,1,2007,,7:27:00 PM,,
Oxybelis,brevirostris,Loop Stream,12,1,2007,2,10:28:00 PM,68.1,24.3
Imantodes,cenchoa,Silenciosa,12,1,2007,,8:16:00 PM,74.5,24.8
Imantodes,inornatus,Pond,12,1,2007,,9:05:00 PM,61.4,19.1
Sibon,argus,Pond,12,1,2007,,9:11:00 PM,45,13.6
Imantodes,inornatus,Pond,12,1,2007,,9:18:00 PM,57.3,14.9
Sibon,argus,Guabal,16,1,2007,2,9:-12:-59 PM,28.1,3.9
Leptodeira,septentrionalis,Rocky Road,16,1,2007,,7:02:00 PM,51.2,24.8
Dipsas,sp.,Rocky Road,16,1,2007,,7:-7:-59 PM,46.3,14.3
Oxybelis,brevirostris,Loop Stream,17,1,2007,2,10:09:00 PM,58,18.9
Imantodes,inornatus,Loop Stream,17,1,2007,2,10:-26:-59 PM,63.7,16.3
Sibon,longifrenis,Silenciosa,18,1,2007,2,8:-1:-59 PM,34.6,5.3
Imantodes,cenchoa,Main Trail,18,1,2007,2,9:-1:-59 PM,75.3,15
Oxybelis,brevirostris,Cutoff,18,1,2007,,8:-23:-59 PM,60.1,18.5
Dipsas,sp.,Loop Stream,19,1,2007,2,9:26:00 PM,38.8,8
Imantodes,cenchoa,Loop Stream,19,1,2007,2,10:-18:-59 PM,55.3,7.4
Dipsas,sp.,Guabal,20,1,2007,2,7:16:00 PM,25.5,3.2
Leptophis,nebulosus,Guabal,20,1,2007,2,8:25:00 PM,41,10.9
Dipsas,sp.,Loop Stream,20,1,2007,2,11:-19:-59 PM,28.1,5.1
Dipsas,sp.,Guabal,20,1,2007,2,9:-12:-59 PM,24.9,2.7
Dipsas,sp.,Guabal,20,1,2007,2,9:-19:-59 PM,20.3,1.9
Leptophis,depressirostris,TADS,20,1,2007,,9:26:00 PM,51.5,10.2
Oxybelis,brevirostris,TADS,20,1,2007,,8:-25:-59 PM,62.9,20.2
Oxybelis,brevirostris,Loop Stream,22,1,2007,2,10:-19:-59 PM,68.1,24
Sibon,nebulatus,Rocky Road,22,1,2007,,8:-28:-59 PM,56.2,31.8
Nothopsis,rugosus,Main Trail,23,1,2007,2,,31.3,9.4
Oxybelis,brevirostris,Main Trail,23,1,2007,2,,53.2,11.3
Sibon,argus,Silenciosa,23,1,2007,2,,38.4,8.4
Sibon,annulatus,Rocky Road,23,1,2007,,7:27:00 PM,38.5,7
Oxybelis,brevirostris,Cutoff,23,1,2007,,9:00:00 PM,60.1,18.5
Imantodes,cenchoa,Verrugosa,25,1,2007,2,8:02:00 PM,75.9,14.6
Bothriechis,schlegelii,Verrugosa,25,1,2007,2,8:17:00 PM,17.1,2.7
Imantodes,cenchoa,Verrugosa,25,1,2007,2,8:-11:-59 PM,62.8,10.2
Sibon,annulatus,Verrugosa,25,1,2007,2,8:-24:-59 PM,40,6.1
Imantodes,inornatus,Verrugosa,25,1,2007,2,8:-4:-59 PM,63.3,12.7
Oxybelis,brevirostris,Verrugosa,25,1,2007,2,9:-26:-59 PM,52.2,11.8
Oxybelis,brevirostris,Verrugosa,28,1,2007,1,1:-12:-59 PM,51.4,10.1
Bothriechis,schlegelii,Verrugosa,28,1,2007,1,11:-19:-59 AM,27,8.2
Bothriechis,schlegelii,Cascada,28,1,2007,2,8:15:00 PM,34.8,15.4
Dipsas,sp.,Rocky Road,28,1,2007,,8:-20:-59 PM,27.3,3.8
Sibon,annulatus,Rocky Road,28,1,2007,,8:-23:-59 PM,38.5,7
Sibon,argus,Silenciosa,29,1,2007,2,9:26:00 PM,28.3,3.7
Oxybelis,brevirostris,Loop Stream,29,1,2007,2,10:-1:-59 PM,58,18
Imantodes,cenchoa,Loop Stream,29,1,2007,2,10:-12:-59 PM,58.5,11.1
Oxybelis,brevirostris,Rocky Road,1,2,2007,,9:-20:-59 PM,65.3,24.9
Oxybelis,brevirostris,TADS,5,2,2007,,9:20:00 PM,54,13.3
Dipsas,sp.,Shortcut,5,2,2007,,10:-27:-59 PM,49.2,14.4
Dipsas,sp.,Shortcut,5,2,2007,,10:-28:-59 PM,44.6,11.1
Oxybelis,brevirostris,Cutoff,5,2,2007,,8:-15:-59 PM,67,25.5
Oxybelis,brevirostris,Main Trail,6,2,2007,2,7:21:00 PM,61.7,21.3
Sibon,argus,Silenciosa,6,2,2007,2,8:11:00 PM,28.1,3.6
Oxybelis,brevirostris,Main Trail,6,2,2007,2,8:-14:-59 PM,26.3,2.4
Oxybelis,brevirostris,Silenciosa,6,2,2007,2,9:-13:-59 PM,69.6,27.7
Leptodeira,septentrionalis,Silenciosa,6,2,2007,2,9:-26:-59 PM,54.4,17.5
Oxybelis,brevirostris,Cutoff,6,2,2007,,8:-7:-59 PM,59.6,17.8
Sibon,argus,Guabal,7,2,2007,2,9:-18:-59 PM,36.4,7.1
Imantodes,cenchoa,Guabal,7,2,2007,2,9:-3:-59 PM,77.6,19.6
Sibon,annulatus,Cascada,9,2,2007,2,8:28:00 PM,,
Sibon,annulatus,Main Trail,17,2,2007,2,8:18:00 PM,31,3.7
Imantodes,cenchoa,Main Trail,17,2,2007,2,8:23:00 PM,34.5,3.1
Imantodes,cenchoa,Main Trail,17,2,2007,2,9:03:00 PM,72.5,15.3
Oxybelis,brevirostris,Loop Stream,17,2,2007,2,9:18:00 PM,67,25.8
Imantodes,cenchoa,Loop Stream,17,2,2007,2,9:24:00 PM,79.7,26.6
Dipsas,sp.,Loop Stream,17,2,2007,2,9:29:00 PM,19.4,1.8
Imantodes,cenchoa,Main Trail,18,2,2007,2,7:22:00 PM,60.3,8.8
Bothriechis,schlegelii,Main Trail,18,2,2007,2,8:-18:-59 PM,24.7,5.5
Bothriechis,schlegelii,Cutoff,18,2,2007,,9:-28:-59 PM,19.9,0.9
Sibon,annulatus,Guabal,20,2,2007,2,8:26:00 PM,39.6,6.8
Sibon,annulatus,Guabal,20,2,2007,2,9:-6:-59 PM,36.3,
Sibon,annulatus,Trail to Guabal,20,2,2007,,8:-3:-59 PM,38.7,5.8
Oxybelis,brevirostris,Loop Stream,23,2,2007,2,10:00:-59 PM,58,17.9
Dipsas,sp.,Loop Stream,23,2,2007,2,10:-17:-59 PM,19.4,1.8
Oxybelis,brevirostris,Loop Stream,23,2,2007,2,10:-6:-59 PM,70.1,32.9
Sibon,nebulatus,Mason's Trib,26,2,2007,2,10:14:00 PM,60.5,45.2
Oxybelis,brevirostris,Silenciosa,26,2,2007,2,10:-23:-59 PM,62.9,18.8
Oxybelis,brevirostris,Loop Stream,26,2,2007,,9:14:00 PM,54,11.9
Dipsas,sp.,Trail to Pond,26,2,2007,,10:17:00 PM,40,7.1
Oxybelis,brevirostris,Rocky Road,27,2,2007,,9:27:00 PM,64.3,20.1
Oxybelis,brevirostris,Trail to Guabal,27,2,2007,,10:-6:-59 PM,58.2,20.1
Bothriechis,schlegelii,Aguadulce,28,2,2007,,,24.9,4.8
Oxybelis,brevirostris,Aguadulce,28,2,2007,,,60.7,27.3
Oxybelis,brevirostris,Loop Stream,2,3,2007,2,9:05:00 PM,58,17.4
Oxybelis,brevirostris,Loop Stream,2,3,2007,2,9:12:00 PM,70.1,32.6
Dipsas,sp.,Loop Stream,2,3,2007,2,9:21:00 PM,35.2,5.9
Dipsas,sp.,Loop Stream,2,3,2007,2,9:27:00 PM,28.2,4.7
Sibon,annulatus,Loop Trail,5,3,2007,2,8:11:00 PM,37.3,5.3
Oxybelis,brevirostris,Trail to Visitor Center,5,3,2007,,8:-11:-59 PM,63.7,22.5
Bothrops,asper,Visitor Center,6,3,2007,,10:00:00 PM,,
Bothriechis,schlegelii,Silenciosa,8,3,2007,2,10:16:00 PM,18.2,3.9
Imantodes,cenchoa,Silenciosa,8,3,2007,2,10:26:00 PM,74.1,16.2
Imantodes,cenchoa,Silenciosa,8,3,2007,2,11:-23:-59 PM,98.6,56.4
Imantodes,cenchoa,Main Trail,8,3,2007,2,9:-10:-59 PM,34.8,2.7
Oxybelis,brevirostris,Loop Stream,9,3,2007,2,9:24:00 PM,69.8,22.4
Imantodes,inornatus,Loop Stream,9,3,2007,2,10:-15:-59 PM,63.3,17.2
Oxybelis,brevirostris,Loop Stream,9,3,2007,2,11:-22:-59 PM,60.5,14.3
Dipsas,sp.,Rocky Road,9,3,2007,,8:-16:-59 PM,48.6,15.3
Imantodes,cenchoa,Trail to Guabal,11,3,2007,,9:13:00 PM,45.5,4.8
Dipsas,sp.,Rocky Road,11,3,2007,,8:-17:-59 PM,18.5,1.8
Dipsas,sp.,Rocky Road,11,3,2007,,8:-21:-59 PM,47.2,14.9
Oxybelis,brevirostris,Main Trail,12,3,2007,2,8:18:00 PM,58.1,17.8
Dipsas,sp.,Loop Trail,12,3,2007,2,9:25:00 PM,39.7,8
Imantodes,cenchoa,Loop Trail,12,3,2007,2,9:25:00 PM,60.8,12.6
Oxybelis,brevirostris,Loop Trail,12,3,2007,2,10:09:00 PM,70.3,24.1
Oxybelis,brevirostris,Loop Trail,12,3,2007,2,10:-13:-59 PM,62.2,20.6
Sibon,annulatus,Loop Stream,12,3,2007,2,9:-11:-59 PM,40.6,6.4
Sibon,annulatus,Loop Stream,12,3,2007,2,9:-18:-59 PM,37.3,5.4
Imantodes,inornatus,Cutoff,14,3,2007,,10:-11:-59 PM,55.7,20.9
Imantodes,cenchoa,Trail to Pond,14,3,2007,,8:-24:-59 PM,60,22.5
Dipsas,sp.,Rocky Road,15,3,2007,,11:09:00 PM,38.6,13.6
Oxybelis,brevirostris,Rocky Road past Cascada,15,3,2007,,10:-18:-59 PM,29.4,3
Imantodes,cenchoa,Rocky Road,15,3,2007,,11:-10:-59 PM,75,23.8
Sibon,argus,Rocky Road,15,3,2007,,9:-3:-59 PM,24.9,6.1
Imantodes,cenchoa,Main Trail,17,3,2007,2,7:27:00 PM,61.7,12.7
Dipsas,sp.,Loop Trail,17,3,2007,2,10:-14:-59 PM,48.7,10.2
Leptodeira,septentrionalis,Main Trail,17,3,2007,2,8:-24:-59 PM,45.8,21.3
Oxybelis,brevirostris,Silenciosa,23,3,2007,2,10:26:00 PM,57.3,14.1
Imantodes,cenchoa,Loop Stream,23,3,2007,,10:-19:-59 PM,76.7,20.8
Bothriechis,schlegelii,Loop Stream,23,3,2007,,10:-28:-59 PM,18.3,2.1
Bothriechis,schlegelii,Main Trail,23,3,2007,,9:-22:-59 PM,29.8,8.7
Imantodes,cenchoa,Guabal,26,3,2007,2,9:05:00 PM,69.4,21.9
Sibon,annulatus,Guabal,26,3,2007,2,10:-11:-59 PM,21,1.4
Dipsas,sp.,Trail to Guabal,26,3,2007,,9:-12:-59 PM,44.4,8.8
Sibon,annulatus,Loop Trail,27,3,2007,2,8:07:00 PM,38,7.8
Oxybelis,brevirostris,Loop Trail,27,3,2007,2,10:29:00 PM,70.3,25.8
Sibon,annulatus,Loop Stream,27,3,2007,2,10:-20:-59 PM,40.6,6.6
Sibon,nebulatus,Loop Stream,27,3,2007,2,10:-23:-59 PM,32.9,8.4
Imantodes,cenchoa,Main Trail,27,3,2007,2,8:-7:-59 PM,73.9,16.5
Dipsas,sp.,Loop Trail,27,3,2007,2,9:-24:-59 PM,29.6,4.5
Oxybelis,brevirostris,Aguadulce,27,3,2007,,10:03:00 PM,57.9,18.2
Imantodes,cenchoa,Aguadulce,27,3,2007,,10:20:00 PM,65.3,11
Sibon,annulatus,Main Trail,2,4,2007,2,8:19:00 PM,30.4,5.6
Imantodes,cenchoa,Loop Stream,2,4,2007,2,10:-26:-59 PM,59.3,12.3
Oxybelis,brevirostris,Main Trail,2,4,2007,2,8:-23:-59 PM,66.7,25
Oxybelis,brevirostris,Main Trail,2,4,2007,2,9:-18:-59 PM,27.1,2.8
Oxybelis,brevirostris,Sen Abe,3,4,2007,,8:26:00 PM,68.1,23.7
Dipsas,sp.,Main Trail,6,4,2007,2,8:14:00 PM,41.8,10.1
Sibon,annulatus,TADS,6,4,2007,,9:-10:-59 PM,37.8,5.6
Imantodes,cenchoa,Cutoff,6,4,2007,,9:-27:-59 PM,45.4,5.5
Sibon,annulatus,TADS,6,4,2007,,9:-5:-59 PM,25.4,2.6
Dipsas,sp.,Main Trail,7,4,2007,2,8:06:00 PM,21.4,2.3
Bothriechis,schlegelii,Silenciosa,7,4,2007,2,9:00:00 PM,31.9,9.4
Bothriechis,schlegelii,Silenciosa,7,4,2007,2,9:12:00 PM,24.9,5
Leptodeira,septentrionalis,Silenciosa,7,4,2007,2,9:21:00 PM,34.9,10.5
Sibon,argus,Silenciosa,7,4,2007,2,10:-16:-59 PM,36.4,7
Sibon,annulatus,Silenciosa,7,4,2007,2,10:-25:-59 PM,34.2,4.9
Bothriechis,schlegelii,Main Trail,7,4,2007,2,8:-7:-59 PM,29.8,8.7
Leptodeira,septentrionalis,Cutoff,7,4,2007,,9:-17:-59 PM,38.8,13
Sibon,annulatus,Guabal,8,4,2007,2,9:11:00 PM,36.3,6.4
Imantodes,cenchoa,Loop Trail,8,4,2007,2,9:25:00 PM,37.8,3.2
Dipsas,sp.,Loop Trail,8,4,2007,2,10:-18:-59 PM,28.2,5.1
Sibon,annulatus,Guabal,8,4,2007,2,9:-13:-59 PM,22.4,1.7
Leptodeira,septentrionalis,Cascada,8,4,2007,2,9:-23:-59 PM,48,23.4
Sibon,argus,Guabal,8,4,2007,2,9:-8:-59 PM,31,5
Bothriechis,schlegelii,Main Trail,8,4,2007,,8:00:00 PM,29.8,8.7
Imantodes,cenchoa,Main Trail,8,4,2007,,8:29:00 PM,76.2,36.8
Oxybelis,brevirostris,Loop Stream,8,4,2007,,9:01:00 PM,64.2,17.9
Oxybelis,brevirostris,Main Trail,8,4,2007,,8:-19:-59 PM,68.4,27.3
Oxybelis,brevirostris,Main Trail,8,4,2007,,8:-23:-59 PM,66.7,25
Oxybelis,brevirostris,Main Trail,8,4,2007,,8:-7:-59 PM,62,19.3
Leptodeira,septentrionalis,Main Trail,8,4,2007,,9:-9:-59 PM,49.8,22.9
Oxybelis,brevirostris,Main Trail,12,4,2007,2,8:00:00 PM,63.6,20.7
Bothriechis,schlegelii,Main Trail,12,4,2007,2,8:27:00 PM,29.8,8.7
Dipsas,sp.,Rocky Road,12,4,2007,,10:-20:-59 PM,41.6,10.4
Dipsas,sp.,Rocky Road,12,4,2007,,10:-21:-59 PM,39.7,15.2
Dipsas,sp.,Rocky Road,12,4,2007,,10:-23:-59 PM,49,15.1
Sibon,nebulatus,Rocky Road,12,4,2007,,10:-9:-59 PM,40.5,14.2
Clelia,clelia,Silenciosa,16,4,2007,2,9:02:00 PM,151,
Sibon,argus,Silenciosa,16,4,2007,2,9:11:00 PM,36.3,6.7
Dipsas,sp.,Loop Trail,16,4,2007,2,11:-27:-59 PM,29.1,3.4
Lachesis,stenophrys,Main Trail,16,4,2007,2,9:-21:-59 PM,,
Oxybelis,brevirostris,Main Trail,23,4,2007,2,7:23:00 PM,66.7,21.7
Imantodes,cenchoa,Loop Stream,23,4,2007,2,9:15:00 PM,80,27.8
Leptophis,nebulosus,Loop Trail,23,4,2007,2,10:-6:-59 PM,53.5,30.4
Sibon,annulatus,Loop Stream,23,4,2007,2,9:00:-59 PM,40.3,6.2
Oxybelis,brevirostris,Loop Stream,23,4,2007,2,9:-20:-59 PM,64.2,18.7
Sibon,annulatus,Loop Stream,23,4,2007,2,9:-8:-59 PM,38.2,8.4
Sibon,annulatus,Loop Trail,28,4,2007,2,8:15:00 PM,38,5.4
Oxybelis,brevirostris,Loop Trail,28,4,2007,2,8:-13:-59 PM,30.4,3.3
Dipsas,sp.,Loop Trail,28,4,2007,2,9:-13:-59 PM,49.1,14.9
Dipsas,sp.,Loop Trail,28,4,2007,2,9:-29:-59 PM,28.8,3
Bothriechis,schlegelii,Main Trail,30,4,2007,1,11:16:00 AM,29.8,8.7
Bothriechis,schlegelii,Main Trail,4,5,2007,2,8:21:00 PM,17.8,3.5
Dipsas,sp.,Silenciosa,4,5,2007,2,9:12:00 PM,39.3,7.6
